Mon Aug 11 06:57:19 PDT 2014 Starting master on sceplus-vm48
core file size          (blocks, -c) 0
data seg size           (kbytes, -d) unlimited
scheduling priority             (-e) 0
file size               (blocks, -f) unlimited
pending signals                 (-i) 128203
max locked memory       (kbytes, -l) 64
max memory size         (kbytes, -m) unlimited
open files                      (-n) 32768
pipe size            (512 bytes, -p) 8
POSIX message queues     (bytes, -q) 819200
real-time priority              (-r) 0
stack size              (kbytes, -s) 8192
cpu time               (seconds, -t) unlimited
max user processes              (-u) 128203
virtual memory          (kbytes, -v) unlimited
file locks                      (-x) unlimited
2014-08-11 06:57:20,014 INFO  [main] util.VersionInfo: HBase 2.0.0-SNAPSHOT
2014-08-11 06:57:20,014 INFO  [main] util.VersionInfo: Subversion git://sceplus-vm48/home/hadoop/hbase-2.0.0-SNAPSHOT -r 50ac59fa8530bbd35c21cd61cfd64d2bd7d3eb57
2014-08-11 06:57:20,015 INFO  [main] util.VersionInfo: Compiled by hadoop on Sun Aug  3 14:37:33 PDT 2014
2014-08-11 06:57:20,292 INFO  [main] util.ServerCommandLine: env:JAVA_HOME=/usr/lib/jvm/java-1.7.0-openjdk-amd64/
2014-08-11 06:57:20,293 INFO  [main] util.ServerCommandLine: env:SHLVL=4
2014-08-11 06:57:20,293 INFO  [main] util.ServerCommandLine: env:HBASE_LOG_DIR=/home/hadoop/hbase/bin/../logs
2014-08-11 06:57:20,293 INFO  [main] util.ServerCommandLine: env:HBASE_HOME=/home/hadoop/hbase/bin/..
2014-08-11 06:57:20,293 INFO  [main] util.ServerCommandLine: env:HBASE_OPTS=-XX:+UseConcMarkSweepGC   -Dhbase.log.dir=/home/hadoop/hbase/bin/../logs -Dhbase.log.file=hbase-hadoop-master-sceplus-vm48.log -Dhbase.home.dir=/home/hadoop/hbase/bin/.. -Dhbase.id.str=hadoop -Dhbase.root.logger=INFO,RFA -Dhbase.security.logger=INFO,RFAS
2014-08-11 06:57:20,293 INFO  [main] util.ServerCommandLine: env:HBASE_ENV_INIT=true
2014-08-11 06:57:20,293 INFO  [main] util.ServerCommandLine: env:SSH_CLIENT=9.1.143.53 58775 22
2014-08-11 06:57:20,293 INFO  [main] util.ServerCommandLine: env:HBASE_HEAPSIZE=12288
2014-08-11 06:57:20,293 INFO  [main] util.ServerCommandLine: env:MAIL=/var/mail/hadoop
2014-08-11 06:57:20,293 INFO  [main] util.ServerCommandLine: env:HBASE_ZNODE_FILE=/var/hadoop/pids/hbase-hadoop-master.znode
2014-08-11 06:57:20,293 INFO  [main] util.ServerCommandLine: env:PWD=/home/hadoop
2014-08-11 06:57:20,293 INFO  [main] util.ServerCommandLine: env:LOGNAME=hadoop
2014-08-11 06:57:20,294 INFO  [main] util.ServerCommandLine: env:HBASE_MANAGES_ZK=true
2014-08-11 06:57:20,294 INFO  [main] util.ServerCommandLine: env:HBASE_NICENESS=0
2014-08-11 06:57:20,294 INFO  [main] util.ServerCommandLine: env:HBASE_REST_OPTS=
2014-08-11 06:57:20,294 INFO  [main] util.ServerCommandLine: env:MALLOC_ARENA_MAX=4
2014-08-11 06:57:20,294 INFO  [main] util.ServerCommandLine: env:SSH_CONNECTION=9.1.143.53 58775 9.1.143.58 22
2014-08-11 06:57:20,294 INFO  [main] util.ServerCommandLine: env:SHELL=/bin/bash
2014-08-11 06:57:20,294 INFO  [main] util.ServerCommandLine: env:HBASE_PID_DIR=/var/hadoop/pids
2014-08-11 06:57:20,294 INFO  [main] util.ServerCommandLine: env:HBASE_ROOT_LOGGER=INFO,RFA
