experiment_number,cluster_config_type,hbase_config_type,table_config_type,phase,workload_type,total_number_operations,overall_throughput,number_insert_operations,insert_avg_latency,number_read_operations,read_avg_latency,number_update_operations,update_avg_latency,number_scan_operations,scan_avg_latency,number_delete_operations,delete_avg_latency,dfs_capacityUsedGB,dfs_Gegabytes_written,dfs_Gigabytes_read,dfs_block_written,dfs_block_read,dfs_writes_from_remote_client,dfs_writes_from_local_client,dfs_reads_from_remote_client,dfs_reads_from_local_client,dfs_readBlockOp_num_ops,dfs_readBlockOp_avg_time,dfs_writeBlockOp_num_ops,dfs_writeBlockOp_avg_time,dfs_gcTimeMillis,storeFileCount,storeFileSizeGB,hlogFileCount,hlogFileSizeGB,blockCacheFreeSizeGB,blockCacheCount,blockCacheSizeGB,blockCacheHitCount,blockCacheMissCount,blockCacheEvictionCount,rs_gcTimeMillis,numGigaBytesCompactedCount,numFilesCompactedCount,compactionsCompletedCount,rs_ipc_avg_queueSize_in_million,rs_get_mean
199,2,2,1,1,workloada,50000020,12122.034950251169,4999310,13.805804601034943,45000690,1797.4365746836327,20,151628.65,0,0,0,0,11.576490199193358,30.72277482226491,75.72387882973999,648.0,2487958.0,325.0,323.0,1723458.0,764500.0,2487958.0,2.495497512417814,648.0,41742.208333333336,74739.0,12.0,3.2169912699609995,33.0,1.7458579633384943,0.06934798508882523,63125.0,3.9033845588564873,125901284.0,2531240.0,2419422.0,771080.0,552.9825974581763,7747,2479,0.2481718876909738,0.12900439807374794
200,2,2,1,1,workloada,50000020,11109.891491911776,4999411,13.665160955960612,45000589,1967.2550518172106,20,93223.45,0,0,0,0,11.96584701538086,21.22948281466961,66.8620216557756,470.0,2229767.0,235.0,235.0,1681945.0,547822.0,2229767.0,2.8963775138837375,470.0,57365.55319148936,73227.0,52.0,3.214354896917939,39.0,2.1162030892446637,0.13465125858783722,62123.0,3.8380812853574753,175882445.0,2229558.0,2166345.0,1011528.0,0.0,0,0,0.23018745520833334,0.13415512445408193
201,2,2,1,1,workloada,50000020,9302.611149923672,4998666,13.911271327190095,45001334,2354.4387537045013,20,106534.15,0,0,0,0,11.531779486685991,30.731688236817718,228.40337260998785,654.0,7522169.0,329.0,325.0,6163539.0,1358630.0,7522169.0,1.7854751734506364,654.0,48626.085626911314,234030.0,12.0,3.2134233601391315,32.0,1.7068260991945863,0.06717241555452347,30806.0,1.907299391925335,120799990.0,7615605.0,7485483.0,1089377.0,745.0455022053793,10579,3409,0.129255467486819,0.34082372805090805
202,2,2,1,1,workloada,50000020,9472.775621774046,5000851,13.953878249921864,44999149,2312.3974496051023,20,105664.55,0,0,0,0,11.331734396517277,21.244457664899528,228.055739287287,476.0,7604507.0,239.0,237.0,6125412.0,1479095.0,7604507.0,1.332548710915777,476.0,62947.117647058825,234502.0,52.0,3.219706680625677,32.0,1.7032833015546203,0.053104788064956665,31073.0,1.9213670194149017,170583555.0,7602833.0,7569542.0,1003019.0,0.0,0,0,0.16528719265232975,0.32478745774028245
203,2,2,1,1,workloada,50000020,16666.533334399992,4997683,13.747382937253123,45002317,1298.7365169220066,20,145960.6,0,0,0,0,13.985404387116432,30.337928054854274,8.274340976029634,634.0,270898.0,317.0,317.0,21204.0,249694.0,270898.0,5.015946961587018,634.0,23465.26971608833,5869.0,14.0,3.21017970982939,32.0,1.7361713526770473,1.7031251043081284,99435.0,6.14718522131443,130439479.0,275054.0,168534.0,320069.0,280.88315771054476,4084,1331,0.24631984848484847,0.08151548622304768
204,2,2,1,1,workloada,50000020,18007.323938792386,4998844,14.760161149257709,45001156,1200.8008912037726,20,86731.1,0,0,0,0,13.08496350236237,21.611715046688914,3.353095579892397,474.0,109942.0,237.0,237.0,0.0,109942.0,109942.0,2.29395499445162,474.0,27171.637130801686,2832.0,51.0,3.208338901400566,38.0,2.0961611634120345,1.0790986865758896,109629.0,6.771211639046669,177755666.0,116823.0,2.0,285033.0,0.0,0,0,0.25204621172638436,0.08087915679730084
205,2,2,1,1,workloada,50000020,17703.426533612434,5002894,13.714671148339342,44997106,1221.9151536545482,20,144890.75,0,0,0,0,15.562649108469486,30.702898658812046,7.749612369574606,640.0,256602.0,320.0,320.0,1.0,256601.0,256602.0,2.8981535607672573,640.0,22115.5515625,5701.0,11.0,3.211531311273575,38.0,2.100933694280684,10.087914310395718,94488.0,5.85059467703104,130232623.0,259795.0,160830.0,305042.0,263.0427792435512,3829,1250,0.22623502243589744,0.08261979961241099
206,2,2,1,1,workloada,50000020,17823.431110299945,5000686,14.01552127048169,44999314,1213.94951794154,20,144471.35,0,0,0,0,12.807134803384542,21.237213484942913,3.298179406672716,466.0,110098.0,233.0,233.0,0.0,110098.0,110098.0,1.1272593507602318,466.0,27873.912017167382,2434.0,51.0,3.2163438238203526,32.0,1.735845080576837,9.148331806063652,109796.0,6.790177181363106,177481016.0,110296.0,2.0,268215.0,0.0,0,0,0.2453092112903226,0.07961171496741992
207,2,2,1,1,workloada,50000020,20876.260143252897,5004834,13.403200785480598,44995166,1056.7603607685323,20,102355.1,0,0,0,0,15.866653054952621,29.512725612148643,3.7431841092184186,618.0,713.0,309.0,309.0,0.0,713.0,713.0,2787.575035063114,618.0,20094.917475728154,314.0,17.0,3.211991101503372,39.0,2.157360798679292,1.964944340288639,75.0,0.00952746719121933,70856804.0,140798.0,132.0,249279.0,212.4778931532055,3135,1031,0.30659815427509296,0.047354849106761694
208,2,2,1,1,workloada,50000020,21142.68606832301,4998962,13.700104541702858,45001038,1044.3745242943062,20,86730.5,0,0,0,0,13.119693472981453,22.108334297314286,0.1349104568362236,482.0,385.0,241.0,241.0,0.0,385.0,385.0,953.7532467532468,482.0,23451.690871369294,339.0,51.0,3.21379504352808,38.0,2.09963783249259,1.9614461585879326,109.0,0.013025648891925812,116561476.0,15370.0,2.0,250586.0,0.0,0,0,0.2613171748120301,0.047881087255471404
