experiment_number,cluster_config_type,hbase_config_type,table_config_type,phase,workload_type,total_number_operations,overall_throughput,number_insert_operations,insert_avg_latency,number_read_operations,read_avg_latency,number_update_operations,update_avg_latency,number_scan_operations,scan_avg_latency,number_delete_operations,delete_avg_latency,dfs_capacityUsed,dfs_bytes_written,dfs_bytes_read,dfs_writes_from_remote_client,dfs_writes_from_local_client,dfs_reads_from_remote_client,dfs_reads_from_local_client,dfs_readBlockOp_num_ops,dfs_readBlockOp_avg_time,dfs_writeBlockOp_num_ops,dfs_writeBlockOp_avg_time,storeFileCount,storeFileSize,hlogFileCount,hlogFileSize,blockCacheCount,blockCacheSize,blockCacheHitCount,blockCacheMissCount,blockCacheEvictionCount,numBytesCompactedCount,numFilesCompactedCount,compactionsCompletedCount,rs_ipc_avg_queueSize
35,2,2,1,1,workloadc,50000020,16628.78629149464,44999302,12.384676522315836,5000698,11673.181199304578,20,125076.2,0,0,0,0,96910872826.0,284764518522.0,83954038558.0,2726.0,2726.0,0.0,0.0,1869534.0,445.4906329113924,5452.0,13490.333333333334,97.0,33232223226.0,21.0,1165909127.0,120244.0,8027712008.0,52576601.0,2721145.0,1736789.0,4999289186008,60662,7449,2928790.901470588
36,2,2,1,1,workloadc,50000020,13551.016868305798,44998630,34.435604461735835,5001370,14222.685601145286,20,373589.05,0,0,0,0,85279928926.0,215892859618.0,66237865570.0,2140.0,2106.0,0.0,0.0,1948500.0,7.82499999999999,4246.0,4845.0,316.0,33070428940.0,90.0,5627171639.0,60794.0,4073983632.0,112473422.0,1962291.0,1884801.0,0,0,0,4428202.9993887525
37,2,2,1,1,workloadc,50000020,16280.244216687446,44996431,13.938608597646333,5003569,11920.395750912998,20,106598.5,0,0,0,0,97369386954.0,286923405250.0,83031247543.0,2746.0,2745.0,0.0,0.0,1876269.0,197.1269974768713,5491.0,11069.452380952382,105.0,33258574821.0,26.0,1489925885.0,123957.0,8272997496.0,50908422.0,2740815.0,1738323.0,5327323937587,63162,7921,2738521.0720461095
38,2,2,1,1,workloadc,50000020,16163.533581195734,44998564,12.660739151587148,5001436,12034.855682048115,20,142550.9,0,0,0,0,97567625244.0,284261464142.0,82296817145.0,2715.0,2715.0,0.0,0.0,1877893.0,3702.5143540669856,5430.0,16455.0,112.0,33221593926.0,29.0,1678468516.0,124301.0,8295833696.0,53263815.0,2721461.0,1740387.0,5106653281942,61786,7846,2991939.9326647567
39,2,2,1,1,workloadc,50000020,16160.362509251807,44995328,13.313808269160745,5004672,12008.4012826415,20,183945.8,0,0,0,0,94522986740.0,210048532625.0,60543703946.0,1924.0,1918.0,0.0,0.0,1881019.0,16.634086242299794,3842.0,16922.833333333336,301.0,33056008174.0,46.0,2795654145.0,124768.0,8311261568.0,110610806.0,1894341.0,1754032.0,0,0,0,2969291.1633237824
40,2,2,1,1,workloadc,50000020,14848.625685449682,45003335,13.784054048438854,4996665,13079.276062733843,20,262137.15,0,0,0,0,95956602876.0,294035532330.0,85858114701.0,2776.0,2776.0,0.0,0.0,1896868.0,1028.4695278969957,5552.0,11739.25,108.0,33243335112.0,28.0,1541134247.0,121783.0,8128651248.0,51030026.0,2842219.0,1760226.0,6472288284404,71381,9391,2861472.6644562334
41,2,2,1,1,workloadc,50000020,15142.18206111748,44996395,12.87274736120527,5003605,12835.78820270585,20,171586.9,0,0,0,0,98692790623.0,293317583480.0,85832265795.0,2791.0,2791.0,0.0,0.0,1897815.0,3533.2000000000003,5582.0,12344.45,113.0,33260583416.0,27.0,1491187890.0,124984.0,8340918072.0,50876937.0,2837592.0,1758269.0,6247390227759,70122,9192,2698767.8702702704
42,2,2,1,1,workloadc,50000020,13645.33109986554,45002335,46.717512635733236,4997665,13976.760004121925,20,212501.15,0,0,0,0,96644466235.0,212920509375.0,67687402479.0,2034.0,2026.0,0.0,0.0,2055413.0,13.597463002114175,4060.0,12483.0,330.0,33552667755.0,11.0,516344275.0,28909.0,1965192416.0,1262034.0,29969.0,0.0,0,0,0,8150601.736795228
43,2,2,1,1,workloadc,50000020,16209.121002060827,44999810,12.710758534313811,5000190,12008.043036364617,20,210026.5,0,0,0,0,97575738517.0,287347832960.0,83502947229.0,2755.0,2751.0,0.0,0.0,1894272.0,12117.2,5506.0,12683.2,115.0,33317224034.0,27.0,1561436277.0,123377.0,8234356864.0,54879691.0,2760112.0,1756831.0,5461515667231,61626,7875,2760716.7449856736
44,2,2,1,1,workloadc,50000020,15009.38536867103,45001432,15.784163757277769,4998568,12917.95855432996,20,142155.05,0,0,0,0,104264479582.0,294278289516.0,85976090337.0,2794.0,2794.0,0.0,0.0,1898699.0,22.850019879727654,5588.0,16652.666666666664,111.0,33305888482.0,29.0,1618598567.0,99023.0,6621143192.0,52134259.0,2848727.0,1785118.0,6265446175351,69466,9282,2373047.580428954
45,2,2,1,1,workloadc,50000020,13526.590436213604,44997059,23.88255874678387,5002941,14276.952973660893,20,1985137.5,0,0,0,0,86215600387.0,211458413190.0,63168674480.0,1973.0,1957.0,0.0,0.0,1930136.0,14.796238244514107,3930.0,12982.166666666666,317.0,33058588331.0,56.0,3387536446.0,61755.0,4138046944.0,112907605.0,1943196.0,1865647.0,0,0,0,3616263.4279828607
46,2,2,1,1,workloadc,50000020,16125.749887684153,45000219,14.356471131840491,4999781,12019.77133198434,20,161070.35,0,0,0,0,98658655170.0,283699661232.0,81952478582.0,2701.0,2700.0,0.0,0.0,1877427.0,19.150614754098363,5401.0,16510.333333333336,111.0,33214502233.0,29.0,1677548693.0,124737.0,8324794360.0,52460217.0,2707870.0,1739060.0,4939953514016,59735,7786,3132566.617142857
47,2,2,1,1,workloadc,50000020,15639.158325521574,45000165,13.277315005400535,4999835,12450.368252752342,20,268174.1,0,0,0,0,97485348878.0,288926171572.0,83945517300.0,2755.0,2756.0,0.0,0.0,1880216.0,219.87631118881117,5511.0,16534.833333333336,110.0,33163437319.0,27.0,1552186411.0,113544.0,7580481152.0,50828222.0,2775481.0,1752631.0,5594961680894,65308,8430,2972499.902777778
